,Timestamp,LineId,JourneyPattern,Timeframe,VehicleJourney,Longitude,Latitude,StopId,AtStop,Date
1336100,1359354444000000,15.0,00151001,2013-01-28,4964,-6.260246,53.343586,794.0,1,2013-01-28 06:27:24
1336124,1359354469000000,15.0,00151001,2013-01-28,4964,-6.260724,53.34379200000001,794.0,0,2013-01-28 06:27:49
1336148,1359354485000000,15.0,00151001,2013-01-28,4964,-6.260073,53.344494,794.0,0,2013-01-28 06:28:05
1336204,1359354528000000,15.0,00151001,2013-01-28,4964,-6.259094,53.345226,794.0,0,2013-01-28 06:28:48
1336233,1359354544000000,15.0,00151001,2013-01-28,4964,-6.259078,53.346889,794.0,0,2013-01-28 06:29:04
1336262,1359354564000000,15.0,00151001,2013-01-28,4964,-6.259244,53.34732800000001,794.0,0,2013-01-28 06:29:24
1336289,1359354585000000,15.0,00151001,2013-01-28,4964,-6.2572160000000006,53.34798000000001,794.0,0,2013-01-28 06:29:45
1336314,1359354605000000,15.0,00151001,2013-01-28,4964,-6.256004,53.348137,299.0,1,2013-01-28 06:30:05
1336347,1359354623000000,15.0,00151001,2013-01-28,4964,-6.256004,53.348137,299.0,1,2013-01-28 06:30:23
1336365,1359354646000000,15.0,00151001,2013-01-28,4964,-6.2556400000000005,53.34819399999999,299.0,0,2013-01-28 06:30:46
1336391,1359354664000000,15.0,00151001,2013-01-28,4964,-6.2556400000000005,53.34819399999999,299.0,0,2013-01-28 06:31:04
1336425,1359354685000000,15.0,00151001,2013-01-28,4964,-6.2556400000000005,53.34819399999999,299.0,0,2013-01-28 06:31:25
1336449,1359354705000000,15.0,00151001,2013-01-28,4964,-6.255611,53.348198,299.0,0,2013-01-28 06:31:45
1336480,1359354726000000,15.0,00151001,2013-01-28,4964,-6.254205000000002,53.349316,299.0,0,2013-01-28 06:32:06
1336506,1359354746000000,15.0,00151001,2013-01-28,4964,-6.25197,53.34938,299.0,0,2013-01-28 06:32:26
1336534,1359354766000000,15.0,00151001,2013-01-28,4964,-6.25197,53.34938,299.0,0,2013-01-28 06:32:46
1336558,1359354784000000,15.0,00151001,2013-01-28,4964,-6.250907,53.350033,299.0,0,2013-01-28 06:33:04
1336590,1359354819000000,15.0,00151001,2013-01-28,4964,-6.250907,53.350033,299.0,0,2013-01-28 06:33:39
1336618,1359354833000000,15.0,00151001,2013-01-28,4964,-6.250618,53.350487,497.0,0,2013-01-28 06:33:53
1336629,1359354849000000,15.0,00151001,2013-01-28,4964,-6.250382,53.350857,497.0,0,2013-01-28 06:34:09
1336663,1359354864000000,15.0,00151001,2013-01-28,4964,-6.250382,53.350857,497.0,0,2013-01-28 06:34:24
1336686,1359354884000000,15.0,00151001,2013-01-28,4964,-6.250382,53.350857,497.0,0,2013-01-28 06:34:44
1336725,1359354906000000,15.0,00151001,2013-01-28,4964,-6.249921,53.351585,497.0,0,2013-01-28 06:35:06
1336758,1359354929000000,15.0,00151001,2013-01-28,4964,-6.248581,53.352974,497.0,0,2013-01-28 06:35:29
1336776,1359354945000000,15.0,00151001,2013-01-28,4964,-6.247228,53.35421,515.0,0,2013-01-28 06:35:45
1336821,1359354965000000,15.0,00151001,2013-01-28,4964,-6.247125,53.354305,515.0,0,2013-01-28 06:36:05
1336848,1359354986000000,15.0,00151001,2013-01-28,4964,-6.246919,53.3545,515.0,0,2013-01-28 06:36:26
1336878,1359355008000000,15.0,00151001,2013-01-28,4964,-6.245054,53.355999,516.0,0,2013-01-28 06:36:48
1336908,1359355024000000,15.0,00151001,2013-01-28,4964,-6.24282,53.357483,516.0,0,2013-01-28 06:37:04
